Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, nu3, m1, m3, T1, T2, f)
admix_origin_sym_mig_adj	Round_4_Replicate_13	-967.84	1951.68	47434172.32	158.49	2.1009,0.2854,6.5713,1.227,0.6498,0.0891,0.2951,0.7408
admix_origin_sym_mig_adj	Round_4_Replicate_14	-971.89	1959.78	57262647.61	193.35	1.4736,0.2585,5.0619,1.0038,0.6809,0.0606,0.2098,0.9888
admix_origin_sym_mig_adj	Round_4_Replicate_15	-910.73	1837.46	236225138.22	186.24	2.4374,0.3051,3.4927,0.3794,0.5874,0.0583,0.2252,0.9886
admix_origin_sym_mig_adj	Round_4_Replicate_16	-948.28	1912.56	12613830.05	157.46	1.5935,0.3021,6.6812,0.8329,0.8326,0.0722,0.3475,0.5163
admix_origin_sym_mig_adj	Round_4_Replicate_17	-970.64	1957.28	254304.22	200.99	0.9822,0.3231,3.395,0.4062,0.5689,0.0741,0.2596,0.9887
admix_origin_sym_mig_adj	Round_4_Replicate_18	-959.33	1934.66	1975306993.73	151.6	3.5268,0.3075,7.3676,0.8968,0.723,0.0974,0.2562,0.5636
admix_origin_sym_mig_adj	Round_4_Replicate_19	-977.31	1970.62	1538102.22	165.65	0.9714,0.2903,5.8909,0.4147,0.8345,0.1174,0.354,0.8676
admix_origin_sym_mig_adj	Round_4_Replicate_20	-972.6	1961.2	735396819.03	168.33	2.1081,0.2498,7.1873,1.0963,0.5516,0.1213,0.2227,0.9882
admix_origin_sym_mig_adj	Round_4_Replicate_21	-923.77	1863.54	619282.64	160.71	1.5215,0.3039,4.9061,0.6901,0.432,0.0465,0.3783,0.9362
admix_origin_sym_mig_adj	Round_4_Replicate_22	-1006.98	2029.96	1003419.84	158.96	0.9438,0.2737,6.7807,0.3719,0.7547,0.1449,0.3664,0.7493
admix_origin_sym_mig_adj	Round_4_Replicate_23	-906.92	1829.84	103522553.68	162.46	2.5979,0.328,5.6223,0.4785,0.6736,0.1035,0.2529,0.443
admix_origin_sym_mig_adj	Round_4_Replicate_24	-893.03	1802.06	39620543.12	158.53	2.4415,0.3457,4.9415,0.7941,0.4539,0.0724,0.3103,0.9892
admix_origin_sym_mig_adj	Round_4_Replicate_25	-989.75	1995.5	225162.87	188.96	0.9636,0.2579,4.6698,0.5148,0.4615,0.0308,0.2753,0.7574
admix_origin_sym_mig_adj	Round_4_Replicate_26	-997.77	2011.54	6245712.93	193.31	1.1684,0.1758,5.1729,0.8513,0.6905,0.0412,0.2459,0.8555
admix_origin_sym_mig_adj	Round_4_Replicate_27	-939.7	1895.4	151351022.39	194.34	2.1255,0.2842,3.5883,0.7787,0.3321,0.0961,0.1862,0.9888
admix_origin_sym_mig_adj	Round_4_Replicate_28	-951.51	1919.02	1083480.0	165.22	2.1515,0.213,7.6077,0.3457,1.181,0.0856,0.2374,0.9675
admix_origin_sym_mig_adj	Round_4_Replicate_29	-939.21	1894.42	16209841.52	168.0	1.8894,0.2818,4.6178,1.0316,0.5492,0.1337,0.2827,0.9892
admix_origin_sym_mig_adj	Round_4_Replicate_30	-872.98	1761.96	409136191.88	136.53	3.2,0.2813,5.6165,0.4677,0.5116,0.1575,0.3609,0.9886
admix_origin_sym_mig_adj	Round_4_Replicate_31	-1013.58	2043.16	48831.9	184.9	1.0161,0.3803,3.7081,0.904,0.5029,0.0333,0.3341,0.7074
admix_origin_sym_mig_adj	Round_4_Replicate_32	-935.16	1886.32	22833121.41	182.31	1.3041,0.3084,3.734,0.4156,1.0605,0.1617,0.2797,0.9888
admix_origin_sym_mig_adj	Round_4_Replicate_33	-924.47	1864.94	1125993095.78	171.29	2.829,0.2168,5.2962,0.7287,0.398,0.0598,0.2402,0.9892
admix_origin_sym_mig_adj	Round_4_Replicate_34	-952.37	1920.74	23525158.23	153.24	1.6601,0.2298,5.112,0.7707,1.0491,0.0898,0.4396,0.5328
admix_origin_sym_mig_adj	Round_4_Replicate_35	-894.08	1804.16	283839667.0	150.64	3.31,0.3855,5.1885,0.8211,0.3952,0.0968,0.2974,0.9892
admix_origin_sym_mig_adj	Round_4_Replicate_36	-920.81	1857.62	35648894.32	182.68	1.9965,0.2988,4.0035,0.7288,0.653,0.0354,0.2606,0.7212
admix_origin_sym_mig_adj	Round_4_Replicate_37	-878.46	1772.92	3468016.55	169.9	1.8412,0.3971,4.0785,0.3558,0.3752,0.0862,0.2907,0.9892
admix_origin_sym_mig_adj	Round_4_Replicate_38	-890.08	1796.16	102370974.69	151.89	2.6245,0.2844,4.6008,0.5694,0.6994,0.0932,0.3565,0.7925
admix_origin_sym_mig_adj	Round_4_Replicate_39	-986.96	1989.92	3166456.56	203.48	1.0008,0.3619,4.7784,0.6907,0.6471,0.0801,0.1985,0.988
admix_origin_sym_mig_adj	Round_4_Replicate_40	-936.61	1889.22	4780218.06	177.09	1.3922,0.3463,3.9162,0.6557,0.9692,0.0562,0.3228,0.4524
