Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nuA, nu2, nu3, mA, m1, m2, T1, T2)
split_symmig_adjacent	Round_4_Replicate_5	-791.0	1600.0	4766580.61	63.55	7.8531,1.1775,11.9404,1.3048,0.5487,0.1833,0.0596,0.1248,1.164
split_symmig_adjacent	Round_4_Replicate_6	-945.64	1909.28	28810592.82	50.01	14.3698,0.5425,16.5007,0.599,0.7243,0.1549,0.0438,0.1773,1.4968
split_symmig_adjacent	Round_4_Replicate_7	-824.11	1666.22	632520.15	65.58	10.5159,0.5348,10.3926,1.72,0.6853,0.1949,0.0781,0.2055,1.0412
split_symmig_adjacent	Round_4_Replicate_8	-891.67	1801.34	1783606.98	76.68	6.0942,0.7786,12.1884,0.5019,0.7789,0.2119,0.0341,0.3355,0.8043
split_symmig_adjacent	Round_4_Replicate_9	-840.93	1699.86	2128449.35	80.2	6.9679,1.2229,11.3664,1.6736,0.7937,0.1486,0.0683,0.1188,0.7279
split_symmig_adjacent	Round_4_Replicate_10	-796.27	1610.54	1902833.22	59.7	9.4287,0.7037,12.3125,1.1328,0.5008,0.1947,0.0954,0.262,1.223
split_symmig_adjacent	Round_4_Replicate_11	-805.32	1628.64	14129374.88	56.09	6.4046,0.8335,12.6881,1.1569,0.5377,0.2608,0.0688,0.1711,1.5978
split_symmig_adjacent	Round_4_Replicate_12	-881.88	1781.76	37990.89	86.65	5.6657,0.3656,11.4066,1.4951,0.9221,0.1449,0.0498,0.1327,0.6903
split_symmig_adjacent	Round_4_Replicate_13	-920.37	1858.74	2032983.24	66.67	5.0893,1.34,9.2177,0.4874,0.4749,0.2147,0.1061,0.0905,1.5638
split_symmig_adjacent	Round_4_Replicate_14	-896.04	1810.08	99451.61	56.97	9.2328,0.3303,15.3969,0.6593,1.0699,0.1082,0.1102,0.3228,1.3123
split_symmig_adjacent	Round_4_Replicate_15	-846.81	1711.62	101287.29	64.41	8.6207,0.3584,10.0909,1.2374,0.4504,0.1698,0.048,0.2293,1.2054
split_symmig_adjacent	Round_4_Replicate_16	-876.96	1771.92	321120.37	81.3	12.5791,0.4185,10.2723,1.4268,0.3655,0.156,0.0825,0.1107,0.6995
split_symmig_adjacent	Round_4_Replicate_17	-862.09	1742.18	13226804.26	79.09	6.8642,0.7734,11.715,0.5072,0.5296,0.2824,0.0556,0.2386,0.7715
split_symmig_adjacent	Round_4_Replicate_18	-796.77	1611.54	39623069.66	62.44	10.9329,1.207,12.9257,1.3617,0.8559,0.2375,0.0804,0.2662,0.9907
split_symmig_adjacent	Round_4_Replicate_19	-824.51	1667.02	360049.31	81.53	5.3576,0.806,10.3798,0.7562,0.6669,0.1254,0.0814,0.096,0.8586
split_symmig_adjacent	Round_4_Replicate_20	-789.32	1596.64	4545412.38	74.55	6.0548,0.4298,10.1147,0.909,0.4381,0.2975,0.1692,0.1148,1.0353
split_symmig_adjacent	Round_4_Replicate_21	-892.81	1803.62	3141771902.1	49.65	15.0768,1.2327,15.4408,0.5986,0.6275,0.2387,0.1078,0.1047,1.5777
split_symmig_adjacent	Round_4_Replicate_22	-847.28	1712.56	472587.55	70.19	9.6486,0.7577,13.5153,1.5966,0.6188,0.1516,0.0353,0.231,0.8097
split_symmig_adjacent	Round_4_Replicate_23	-828.71	1675.42	210832.57	49.57	6.2649,0.3927,13.1817,1.5652,0.4099,0.176,0.0902,0.2902,2.0455
split_symmig_adjacent	Round_4_Replicate_24	-799.01	1616.02	5440699.02	57.82	8.4657,0.5919,13.4608,1.1185,0.4981,0.2403,0.0881,0.3022,1.2915
split_symmig_adjacent	Round_4_Replicate_25	-786.25	1590.5	5680785.55	58.05	7.8038,0.4988,11.8617,1.3706,0.5652,0.2392,0.0962,0.1419,1.454
split_symmig_adjacent	Round_4_Replicate_26	-790.79	1599.58	2704813.04	66.25	6.6683,1.0122,13.0611,0.9502,1.2011,0.1952,0.1064,0.3154,1.0141
split_symmig_adjacent	Round_4_Replicate_27	-793.95	1605.9	4366034.32	58.43	9.7796,0.6402,12.6662,1.5958,0.3914,0.2175,0.0989,0.1923,1.2495
split_symmig_adjacent	Round_4_Replicate_28	-788.73	1595.46	16467516.91	61.51	8.6399,1.3965,12.9449,1.0674,1.1725,0.1799,0.0825,0.133,1.1843
split_symmig_adjacent	Round_4_Replicate_29	-822.34	1662.68	1190676.88	54.61	11.0987,0.8993,16.7951,1.061,1.2149,0.0932,0.0923,0.2637,1.2296
split_symmig_adjacent	Round_4_Replicate_30	-853.83	1725.66	883373.67	48.59	6.9817,0.3794,16.6489,1.0382,0.8674,0.1682,0.0672,0.3271,1.8525
split_symmig_adjacent	Round_4_Replicate_31	-872.56	1763.12	2425174.2	50.25	5.3655,0.7367,13.4792,0.8275,0.6102,0.2328,0.1092,0.3165,2.1859
split_symmig_adjacent	Round_4_Replicate_32	-845.3	1708.6	29724803.63	71.72	5.7905,0.9371,13.0721,0.6398,0.3697,0.2545,0.0543,0.0982,1.0034
split_symmig_adjacent	Round_4_Replicate_33	-837.1	1692.2	6096368.71	39.03	14.0036,0.4336,18.1861,1.0625,0.6065,0.1499,0.1272,0.2211,2.342
split_symmig_adjacent	Round_4_Replicate_34	-796.75	1611.5	38587716.55	61.36	8.0669,1.0819,12.8641,1.4032,1.0184,0.2824,0.0406,0.314,1.0973
split_symmig_adjacent	Round_4_Replicate_35	-919.0	1856.0	127911.73	59.68	5.8195,0.4003,10.3628,0.6613,1.1686,0.1238,0.0954,0.0876,1.794
split_symmig_adjacent	Round_4_Replicate_36	-819.28	1656.56	112345.51	62.7	7.1921,1.0358,10.614,1.1659,1.2207,0.1113,0.1229,0.3439,1.2244
split_symmig_adjacent	Round_4_Replicate_37	-899.83	1817.66	348984.63	68.45	14.8245,0.4231,13.8034,0.6907,0.3529,0.1822,0.0884,0.3051,0.8118
split_symmig_adjacent	Round_4_Replicate_38	-878.24	1774.48	85865464.27	42.51	12.8728,1.3576,13.0843,0.8018,0.528,0.1943,0.095,0.1572,2.4128
split_symmig_adjacent	Round_4_Replicate_39	-795.25	1608.5	4103788.78	60.0	8.8197,0.7805,13.9908,1.2152,0.5928,0.1718,0.072,0.1498,1.1979
split_symmig_adjacent	Round_4_Replicate_40	-820.54	1659.08	338421.51	81.46	7.8092,0.9602,10.6689,0.9763,0.67,0.1548,0.0639,0.2803,0.6657
